review_status	case_id	case_path	pr_number	pr_title	pr_merged_at	test_type	test_path	test_name	failure_signature	patch_url	source_smell	final_disposition	subpattern_key	one_line_mechanism	migrate_target	notes
reviewed	pr-4167	cases/2017/08/pr-4167.json	4167	*: start GCWorker after bootstrap finish.	2017-08-15T14:36:57+08:00	unit	store/tikv/gc_worker_test.go	gc_worker_test	+ wg.Wait() // Wait create session finish in worker, some test code depend on this to avoid race.	https://github.com/pingcap/tidb/pull/4167.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 WaitGroup 等待 GCWorker 会话初始化完成，去掉用 time.Sleep 赌 bootstrap/调度时序。		GCWorker createSession 原先含 sleep/bootstrapped loop；修复改为显式同步与延后启动。
reviewed	pr-4708	cases/2017/10/pr-4708.json	4708	expression: Quit builtin function SLEEP when KILLed.	2017-10-09T10:12:37+08:00	unit	expression/evaluator_test.go	evaluator_test	// return 1 when SLEEP() is KILLed	https://github.com/pingcap/tidb/pull/4708.patch	time_sleep_for_sync	exclude		产品语义：SQL builtin SLEEP() 支持被 KILL/ctx cancel 中断，不是测试用 sleep 同步异步路径。		非 flaky sync smell。
reviewed	pr-8597	cases/2018/12/pr-8597.json	8597	stats: optimize unit test execution time	2018-12-06T17:30:21+08:00	unit	statistics/cmsketch_test.go	cmsketch_test	time.Sleep(1 * time.Second) (statistics/handle_test.go)	https://github.com/pingcap/tidb/pull/8597.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用显式 stats load/lease 控制替代 time.Sleep 等待统计信息加载完成。		例如改用 h.LoadNeededHistograms()/调整 lease。
reviewed	pr-12852	cases/2019/10/pr-12852.json	12852	*: fix bug that the kill command doesn't work when the killed session is waiting for the pessimistic lock	2019-10-24T17:26:12+08:00	unit	kv/mock_test.go	mock_test	Session stuck waiting for pessimistic lock despite kill signal (e.g. no periodic check of `killed` flag during wait), causing long waits or timeouts.	https://github.com/pingcap/tidb/pull/12852.patch	time_sleep_for_sync	exclude		产品修复：等待 pessimistic lock 时需要周期性检查 killed 标志；time.Sleep 主要作为 backoff/check interval。		主轴不是“测试用 sleep 同步”。
reviewed	pr-13381	cases/2019/11/pr-13381.json	13381	*: stabilize some tests for CI	2019-11-13T11:31:51+08:00	unit	ddl/util/syncer_test.go	syncer_test	Timeout / readiness check failure in `ddl/util/syncer_test.go` (100ms context timeout) or `domain/domain_test.go` (bounded wait for `SchemaValidator.IsStarted()`), especially under slow CI.	https://github.com/pingcap/tidb/pull/13381.patch	time_sleep_for_sync	watchlist		通过加大 timeout/循环次数缓解 CI 慢导致的启动/同步超时，仍依赖 sleep/时间窗口。		mitigation-only：缺少确定性同步原语或可复用条件。
reviewed	pr-13824	cases/2019/12/pr-13824.json	13824	*: support caching coprocessor responses	2019-12-31T18:24:40+08:00	unit	store/tikv/coprocessor_cache_test.go	TestGetSet	+ // Changed from 10ms to 50ms to resist from unstable CI environment.	https://github.com/pingcap/tidb/pull/13824.patch	time_sleep_for_sync	watchlist		ristretto cache Set 是异步的；测试通过 sleep(50ms) 等待可见性，属于窗口缓解。		mitigation-only：更理想是用 cache.Wait 或显式同步点。
reviewed	pr-14805	cases/2020/02/pr-14805.json	14805	session: make unit test TestDeadlock more stable	2020-02-15T23:02:54+08:00	unit	session/pessimistic_test.go	TestDeadlock	PR body: deadlock may be returned by either transaction; assert either of the two meets deadlock error instead of a certain one.	https://github.com/pingcap/tidb/pull/14805.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 channel 交接并允许两侧任一返回 deadlock，替代 sleep 做并发事务时序屏障。		避免“Sleep 10ms 等另一边拿锁”的窗口赌。
reviewed	pr-15065	cases/2020/03/pr-15065.json	15065	binlog_test: fix unit test error in ci	2020-03-03T09:50:10+08:00	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	PR body: try to fix binlog_test random failure in CI by adding wait time	https://github.com/pingcap/tidb/pull/15065.patch	time_sleep_for_sync	watchlist		轮询 binlog 时把 sleep(10ms) 加长到 30ms 以缓解 CI 慢。		mitigation-only：纯拉长 sleep。
reviewed	pr-15119	cases/2020/03/pr-15119.json	15119	binlog_test: fix sequence binlog test error in CI	2020-03-04T18:38:17+08:00	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	PR body: fix `binlog_test` CI error for sequence binlog; add wait time.	https://github.com/pingcap/tidb/pull/15119.patch	time_sleep_for_sync	watchlist		binlog 相关用例通过增加轮询次数/调整 sleep 来等异步写入可见。		mitigation-only：仍是时间窗口。
reviewed	pr-15094	cases/2020/03/pr-15094.json	15094	test: stablize read lock check case	2020-03-04T23:06:17+08:00	unit	session/pessimistic_test.go	pessimistic_test	PR title: stablize read lock check case.	https://github.com/pingcap/tidb/pull/15094.patch	time_sleep_for_sync	watchlist		并发锁相关测试通过小 sleep“让锁持有一会儿/让另一方先开始”等待窗口。		机制不够纯：部分 sleep 被移位但仍靠 timing。
reviewed	pr-16610	cases/2020/04/pr-16610.json	16610	test: stable global var test	2020-04-22T17:30:32+08:00	unit	domain/global_vars_cache_test.go	global_vars_cache_test	PR title: stable global var test.	https://github.com/pingcap/tidb/pull/16610.patch	time_sleep_for_sync	watchlist		oneflight 并发测试在 loadFunc 内加 sleep(100ms) 拉长窗口，确保并发重叠。		窗口放大类：可疑但不宜 formalize。
reviewed	pr-18227	cases/2020/07/pr-18227.json	18227	ddl: stabilize test TestParallelDDLBeforeRunDDLJob	2020-07-02T19:02:09+08:00	unit	ddl/db_change_test.go	TestParallelDDLBeforeRunDDLJob	TestParallelDDLBeforeRunDDLJob may hang forever due to a race between concurrent sessions around an atomic session counter.	https://github.com/pingcap/tidb/pull/18227.patch	time_sleep_for_sync	watchlist		并发 DDL 测试新增 sleep(100ms) 作为两连接 for-loop 的脱离屏障。		后续已有更优确定性修法（见 pr-37873），此条仅作对照。
reviewed	pr-20962	cases/2020/11/pr-20962.json	20962	test: fix testPointGetSuite.TestIssue20692 timeout	2020-11-10T23:57:49+08:00	unit	planner/core/point_get_plan_test.go	TestIssue20692	Timeout/hang in `TestIssue20692` when the tk3 UPDATE does not deterministically block behind tk2's pessimistic lock work	https://github.com/pingcap/tidb/pull/20962.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 channel 明确串联 tk2/tk3 关键步骤，并用 time.After 做“必须被阻塞”的负向断言，替代先 sleep 再并发。		核心是去掉 sleep 作为 start barrier。
reviewed	pr-19815	cases/2020/11/pr-19815.json	19815	ddl, test: fix deadloop in test about doDDLJob	2020-11-13T11:43:04+08:00	unit	ddl/restart_test.go	restart_test	Potential endless loop / hang in `ddl/restart_test.go` when polling history DDL job after `doDDLJob` returns `context.Canceled`	https://github.com/pingcap/tidb/pull/19815.patch	time_sleep_for_sync	watchlist		DDL restart 测试通过 sleep+轮询 history job 等待异步完成/避免死锁，仍是 timing。		可后续收敛成 Eventually+timeout 的统一 helper。
reviewed	pr-21733	cases/2020/12/pr-21733.json	21733	table/tables: fix a DATA RACE in a unit test case	2020-12-15T11:57:25+08:00	unit	table/tables/tables_test.go	tables_test	WARNING: DATA RACE between `tikvTxn.Commit()` and `tikvTxn.Rollback()` (table/tables/tables_test.go TestConstraintCheckForUniqueIndex).	https://github.com/pingcap/tidb/pull/21733.patch	time_sleep_for_sync	watchlist		通过 sleep(100ms) 让 tk2 先跑以判断是否被阻塞，仍依赖时序窗口。		mitigation-only：没有可复用同步机制。
reviewed	pr-23243	cases/2021/03/pr-23243.json	23243	store/tikv: forward requests by BatchCommands	2021-03-18T23:41:36+08:00	unit	store/tikv/client_fail_test.go	client_fail_test	race in request forwarding / recv loops (forwarded host) leading to intermittent failures	https://github.com/pingcap/tidb/pull/23243.patch	time_sleep_for_sync	watchlist		转发/重连相关测试用 sleep(10ms/100ms) 触发与等待重连，部分改为轮询 epoch，但缺少显式超时门槛。		机制混杂：包含“加长 sleep”与“条件轮询”。
reviewed	pr-24082	cases/2021/04/pr-24082.json	24082	store/tikv, session: Fix incorrect TestAsyncCommitWithSchemaChange and unstable Test1PCWithSchemaChange	2021-04-20T16:25:53+08:00	unit	session/pessimistic_test.go	TestAsyncCommitWithSchemaChange	store/tikv, session: Fix incorrect TestAsyncCommitWithSchemaChange and unstable Test1PCWithSchemaChange	https://github.com/pingcap/tidb/pull/24082.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	把 failpoint 的 sleep 改为 pause+显式 disable，并用 channel 同步 DDL/commit，避免固定 sleep 窗口。		同时把原本 skip 的 1PC 用例拉回可跑。
reviewed	pr-24892	cases/2021/06/pr-24892.json	24892	*: use pprof profile to collect CPU time group by SQL and plan digest	2021-06-02T12:51:40+08:00	unit	ddl/db_change_test.go	db_change_test	fix race test	https://github.com/pingcap/tidb/pull/24892.patch	time_sleep_for_sync	exclude		产品代码：CPU profiler 周期性采样/分析使用 timer/sleep，不属于 flaky 同步修法。		周期任务定时器，不是同步屏障。
reviewed	pr-26467	cases/2021/07/pr-26467.json	26467	txn, session, test: Try stabilize testTxnStateSerialSuite.TestCommitting	2021-07-23T14:34:15+08:00	unit	session/session_test.go	TestCommitting	txn, session, test: Try stabilize testTxnStateSerialSuite.TestCommitting	https://github.com/pingcap/tidb/pull/26467.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	把 failpoint sleep(200ms) 改成 pause，并在断言状态后显式 disable 释放，避免慢提交/回滚窗口不确定。		仍有少量 Sleep 作为状态到达缓冲，但主轴是 failpoint pause。
reviewed	pr-26840	cases/2021/08/pr-26840.json	26840	executor: fix unstable TestStaleSelect	2021-08-03T20:27:07+08:00	unit	executor/stale_txn_test.go	TestStaleSelect	executor: fix unstable TestStaleSelect	https://github.com/pingcap/tidb/pull/26840.patch	time_sleep_for_sync	watchlist		stale read 动态 timestamp 用例直接删除/降载以避免不稳定；仍有 sleep/tolerance。		更像“删不稳定断言”而非同步修法。
reviewed	pr-27163	cases/2021/08/pr-27163.json	27163	executor: fix unstable TestSelectAsOf	2021-08-16T11:51:59+08:00	unit	executor/stale_txn_test.go	TestSelectAsOf	executor: fix unstable TestSelectAsOf	https://github.com/pingcap/tidb/pull/27163.patch	time_sleep_for_sync	retain	stale read / as-of timestamp 测试必须显式控制 TSO/now，而不是短 sleep	用 failpoint 注入 NOW() 并用 assertStaleTSO 精确断言物理时间戳，替代“tso tolerance + sleep”赌时间推进。		把时间源从 wall clock 变为可控输入。
reviewed	pr-27235	cases/2021/08/pr-27235.json	27235	txn, session, test: Try to stabilize testTxnStateSerialSuite.TestRunning and TestBlocked	2021-08-25T14:28:06+08:00	unit	session/session_test.go	TestRunning	txn, session, test: Try to stabilize testTxnStateSerialSuite.TestRunning and TestBlocked	https://github.com/pingcap/tidb/pull/27235.patch	time_sleep_for_sync	migrate		failpoint 注入的 sleep 影响范围过大；修复通过给 SQL 加标记并在注入点过滤，仅对目标语句生效。	patterns/test_isolation_and_state_pollution/subpatterns/test_注入的_hook_filter_matcher_必须缩作用域并在_cancel_切阶段时解绑	更像 test-local hook/filter scope 问题，不应留在 time_sleep_for_sync。
reviewed	pr-27716	cases/2021/09/pr-27716.json	27716	store/copr: migrate test-infra to testify	2021-09-06T22:22:57+08:00	unit	store/copr/coprocessor_cache_test.go	coprocessor_cache_test	// Changed from 10ms to 50ms to resist from unstable CI environment.	https://github.com/pingcap/tidb/pull/27716.patch	time_sleep_for_sync	exclude		测试框架迁移(check->testify)为主，sleep 只是遗留等待 ristretto 异步处理的细节，并非本 PR 主轴。		不作为 time_sleep_for_sync 正例。
reviewed	pr-27856	cases/2021/09/pr-27856.json	27856	lightning: fix unstable test  TestGetDeleteTask and TestCheckSystemRequirement	2021-09-09T11:26:38+08:00	unit	br/pkg/lightning/lightning_test.go	TestGetDeleteTask	lightning: fix unstable test TestGetDeleteTask and TestCheckSystemRequirement	https://github.com/pingcap/tidb/pull/27856.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	新增 taskRun notify channel，让测试等待“任务已开始”信号，替代 sleep 100ms 等异步任务入队/运行。		failpoint SkipRunTask 路径里发信号。
reviewed	pr-27705	cases/2021/09/pr-27705.json	27705	store/mockstore/unistore/lockstore, store/mockstore/unistore/util/lockwaiter: migrate test-infra to testify	2021-09-13T17:38:40+08:00	unit	store/mockstore/unistore/lockstore/lockstore_test.go	TestConcurrent	"- c.Skip(""Skip this unstable test(#26235) and bring it back before 2021-07-29."")"	https://github.com/pingcap/tidb/pull/27705.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 WaitGroup 等待读协程退出，替代 close 后再 sleep(100ms) 等 goroutine 自然收敛。		并发 reader 退出是典型 sleep-for-sync 场景。
reviewed	pr-28794	cases/2021/10/pr-28794.json	28794	ddl: make unstable test TestTruncatePartitionAndDropTable stable	2021-10-14T14:37:27+08:00	unit	ddl/db_partition_test.go	TestTruncatePartitionAndDropTable	ddl: make unstable test TestTruncatePartitionAndDropTable stable	https://github.com/pingcap/tidb/pull/28794.patch	time_sleep_for_sync	retain	sleep 等异步状态传播必须改成 Eventually/条件轮询	等待异步 GC delete-range 完成时，先轮询 mysql.gc_delete_range_done 再验证 KV 前缀为空，替代只靠 sleep+扫描。		把“完成条件”从时间窗口改成系统表 done 标记。
reviewed	pr-29499	cases/2021/11/pr-29499.json	29499	ddl: make CI TestDropSchemaWithPartitionTable stable	2021-11-08T14:05:04+08:00	unit	ddl/db_partition_test.go	TestDropSchemaWithPartitionTable	Fix a unstable test	https://github.com/pingcap/tidb/pull/29499.patch	time_sleep_for_sync	retain	sleep 等异步状态传播必须改成 Eventually/条件轮询	抽出 waitGCDeleteRangeDone(带轮询) 并在 drop schema 场景复用，避免直接 sleep 赌 GC 清理完成。		超时则记录日志并放弃强断言。
reviewed	pr-29900	cases/2021/11/pr-29900.json	29900	*: fix unstable test TestStoreGlobalConfig	2021-11-19T11:29:48+08:00	unit	domain/globalconfigsync/globalconfig_test.go	TestStoreGlobalConfig	*: fix unstable test TestStoreGlobalConfig	https://github.com/pingcap/tidb/pull/29900.patch	time_sleep_for_sync	retain	sleep 等异步状态传播必须改成 Eventually/条件轮询	写 etcd 是异步的；测试改为 retry loop 直到 key 出现（带 sleep+上限），而不是一次 Get 就断言。		典型 eventual consistency 等待。
reviewed	pr-30716	cases/2021/12/pr-30716.json	30716	br: fix some unstable unit test cases.	2021-12-15T11:42:35+08:00	unit	br/pkg/trace/tracing_serial_test.go	tracing_serial_test	Port allocation conflict for mock cluster start, and timing-sensitive trace assertions due to too-short sleeps.	https://github.com/pingcap/tidb/pull/30716.patch	time_sleep_for_sync	watchlist		tracing 用例通过把 sleep(10ms) 拉到 100ms 来稳定 span 耗时正则断言。		mitigation-only：拉长 sleep。
reviewed	pr-32009	cases/2022/01/pr-32009.json	32009	dumpling: fix unstable test TestDumpBlock	2022-01-27T16:59:14+08:00	unit	dumpling/export/dump_test.go	TestDumpBlock	dumpling: fix unstable test TestDumpBlock	https://github.com/pingcap/tidb/pull/32009.patch	time_sleep_for_sync	exclude		sqlmock 取消/等待写协程返回的断言顺序调整；sleep 用于模拟取消时机，不是同步屏障修法。		更像测试断言顺序问题。
reviewed	pr-32622	cases/2022/02/pr-32622.json	32622	handle_test: fix unstable test in the TestConcurrentLoadHistTimeout	2022-02-25T16:47:44+08:00	unit	statistics/handle/handle_hist_test.go	TestConcurrentLoadHistTimeout	handle_test: fix unstable test in the TestConcurrentLoadHistTimeout	https://github.com/pingcap/tidb/pull/32622.patch	time_sleep_for_sync	retain	sleep 等异步状态传播必须改成 Eventually/条件轮询	把“等 timeout task 处理完”的条件从 channel len 变为 stats 指针变化（状态已更新），仍用短间隔轮询。		减少对内部队列长度这种不稳定观测的依赖。
reviewed	pr-32667	cases/2022/03/pr-32667.json	32667	dumpling: fix unstable sql mock	2022-03-01T14:03:45+08:00	unit	dumpling/export/dump_test.go	dump_test	dumpling: fix unstable sql mock	https://github.com/pingcap/tidb/pull/32667.patch	time_sleep_for_sync	exclude		sqlmock 用例通过 WillDelayFor 模拟延迟；与“sleep-for-sync 修法机制”关联弱。		更像 mock 行为对齐。
reviewed	pr-32949	cases/2022/03/pr-32949.json	32949	executor: fix unstable test in the TestPointGetLockExistKey	2022-03-09T18:27:50+08:00	unit	executor/point_get_test.go	TestPointGetLockExistKey	executor: fix unstable test in the TestPointGetLockExistKey	https://github.com/pingcap/tidb/pull/32949.patch	time_sleep_for_sync	watchlist		point get 锁冲突测试改用 WaitGroupWrapper 收口 goroutine，但仍用 sleep(150ms/50ms) 等待阻塞窗口。		部分同步改进但核心仍 timing。
reviewed	pr-33351	cases/2022/03/pr-33351.json	33351	executor: fix unstable test TestPlanCacheWithStaleReadByBinaryProto	2022-03-24T12:18:34+08:00	unit	executor/stale_txn_test.go	TestPlanCacheWithStaleReadByBinaryProto	executor: fix unstable test TestPlanCacheWithStaleReadByBinaryProto	https://github.com/pingcap/tidb/pull/33351.patch	time_sleep_for_sync	watchlist		plan cache stale read 用例围绕 now()/sleep 调整时间窗口以求稳定。		时间语义簇但修法不够确定性。
reviewed	pr-33093	cases/2022/03/pr-33093.json	33093	executor: make CI function TestInvalidReadCacheTable more stable	2022-03-28T15:54:28+08:00	unit	executor/executor_txn_test.go	TestInvalidReadCacheTable	Try to make the function stable and remove it from the unstable list.	https://github.com/pingcap/tidb/pull/33093.patch	time_sleep_for_sync	watchlist		as-of timestamp 场景通过 sleep(100ms) 拉开 now 与后续 DDL 的时间差。		时间窗口缓解。
reviewed	pr-36583	cases/2022/07/pr-36583.json	36583	ddl: fix unstable test in the TestCancel	2022-07-27T10:33:11+08:00	unit	ddl/backfilling.go	TestCancel	TestCancel intermittently fails due to an insufficient delay in the `mockBackfillSlow` failpoint.	https://github.com/pingcap/tidb/pull/36583.patch	time_sleep_for_sync	watchlist		failpoint mockBackfillSlow 把 sleep 从 30ms 拉到 100ms 以稳定取消测试。		mitigation-only：拉长 sleep。
reviewed	pr-37873	cases/2022/09/pr-37873.json	37873	ddl,test: fix unstable test `TestParallelDDLBeforeRunDDLJob`	2022-09-16T09:03:00+08:00	unit	ddl/db_change_test.go	TestParallelDDLBeforeRunDDLJob	Test may hang or flake due to sleep-based synchronization between sessions.	https://github.com/pingcap/tidb/pull/37873.patch	time_sleep_for_sync	retain	固定 sleep 当同步屏障必须改成确定性同步原语	用 WaitGroup+channel 让两个 session 在同一 infoschema 点汇合，并用信号控制“先执行 DDL 的 session”放行，替代 atomic+sleep 自旋。		直接把 sleep/atomic 轮询改成确定性门闸。
reviewed	pr-38106	cases/2022/09/pr-38106.json	38106	handle_test: fix unstable TestConcurrentLoadHistTimeout	2022-09-26T12:45:44+08:00	unit	statistics/handle/handle_hist_test.go	TestConcurrentLoadHistTimeout	Background timeout task completion timing is nondeterministic; sleep-based polling flakes.	https://github.com/pingcap/tidb/pull/38106.patch	time_sleep_for_sync	watchlist		直接删除“等待超时任务处理完并断言结果”的逻辑以消除不稳定。		更像删断言/降测试覆盖。
reviewed	pr-38198	cases/2022/09/pr-38198.json	38198	executor: ignore spill action when trigger global memory kill	2022-09-27T23:17:45+08:00	unit	executor/executor_test.go	executor_test	OOM test flakes due to race between query start and background memory allocation.	https://github.com/pingcap/tidb/pull/38198.patch	time_sleep_for_sync	watchlist		全局内存控制测试用 sleep(100ms) 确保 SQL 已在运行，再进行并发内存分配。		窗口屏障：可用 hook/信号替代。
reviewed	pr-38822	cases/2022/11/pr-38822.json	38822	ddl: make test case TestCacheTableSizeLimit stable	2022-11-03T16:36:01+08:00	unit	ddl/db_cache_test.go	TestCacheTableSizeLimit	`require.True(cached)` fails because cache state did not become true within the fixed sleep/iteration window (slow CI).	https://github.com/pingcap/tidb/pull/38822.patch	time_sleep_for_sync	watchlist		缓存表测试若 cached=false 则直接 return 跳过后续检查，避免慢环境下不稳定。		quarantine-only：提前返回绕过断言。
reviewed	pr-38906	cases/2022/11/pr-38906.json	38906	test: fix unstable test	2022-11-04T21:04:01+08:00	unit	ddl/concurrentddltest/switch_test.go	switch_test	Flaky due to DDL job visibility/persistence timing (jobs not yet in table when test starts checking).	https://github.com/pingcap/tidb/pull/38906.patch	time_sleep_for_sync	watchlist		并发 DDL switch 测试新增 sleep(2s) 以确保 DDL job 入表后再检查。		mitigation-only：固定 sleep。
reviewed	pr-39294	cases/2022/11/pr-39294.json	39294	extension: fix unstable test `TestExtensionConnEvent`	2022-11-21T23:31:58+08:00	unit	server/tidb_test.go	TestExtensionConnEvent	Event log assertion mismatch in TestExtensionConnEvent (missing/extra ConnHandshakeAccepted or ConnDisconnected events).	https://github.com/pingcap/tidb/pull/39294.patch	time_sleep_for_sync	retain	sleep 等异步状态传播必须改成 Eventually/条件轮询	用 waitEvent(tp) 轮询等待指定连接事件出现（带超时），替代假设前序连接已断开/事件已到达。		把事件顺序依赖改成显式等待。
reviewed	pr-39314	cases/2022/11/pr-39314.json	39314	dumpling: fix TestSpeedRecorder flaky test	2022-11-22T17:55:58+08:00	unit	dumpling/export/status_test.go	TestSpeedRecorder	"require.FailNow(""speed is unexpected"", ""expected: ... recent: ..."") in TestSpeedRecorder."	https://github.com/pingcap/tidb/pull/39314.patch	time_sleep_for_sync	exclude		速度统计测试调整误差判定方式；sleep 用于模拟耗时，不是同步机制。		时间函数语义测试。
reviewed	pr-40291	cases/2023/01/pr-40291.json	40291	ddl: fix flaky test TestGlobalVariablesOnFlashback	2023-01-04T11:42:20+08:00	unit	ddl/cluster_test.go	TestGlobalVariablesOnFlashback	Flaky flashback tests due to timing dependence on oracle TSO (mitigated by inserting a short `time.Sleep` before `GetTimestamp`).	https://github.com/pingcap/tidb/pull/40291.patch	time_sleep_for_sync	watchlist		flashback 相关测试在取 TSO 前 sleep(10ms) 以拉开时间戳，仍是 timing。		建议迁到 TSO/注入 now 的确定性做法。
